=== RAPORT PERFORMANTĂ ALGORITMI SORTARE ===
Data testării: Tue Mar 24 22:55:29 2026
=================================================================

>>> FIȘIER: dim_gigant.txt <<<

  [CAS: Aleator | N: 100000 | TIP: int]
    Shell Sort      | Timp:   3.706807s | Memorie:     0.17 KB
    Merge Sort      | Timp:   1.736007s | Memorie:  1564.34 KB
    Quick Sort      | Timp:   1.523156s | Memorie:     5.34 KB
    Heap Sort       | Timp:   0.764996s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.378854s | Memorie:  1557.76 KB
    Radix Sort      | Timp:   0.416487s | Memorie:   781.50 KB

  [CAS: Sortat Crescător | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.273647s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.578905s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   1.057235s | Memorie:     4.90 KB
    Heap Sort       | Timp:   0.701999s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.351451s | Memorie:  1558.10 KB
    Radix Sort      | Timp:   0.370118s | Memorie:   781.50 KB

  [CAS: Sortat Descrescător | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.468127s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.558817s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   1.195136s | Memorie:     5.37 KB
    Heap Sort       | Timp:   0.643980s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.344169s | Memorie:  1558.13 KB
    Radix Sort      | Timp:   0.382322s | Memorie:   781.50 KB

  [CAS: Constant (Plat) | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.265797s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.546553s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   0.019080s | Memorie:     0.24 KB
    Heap Sort       | Timp:   0.056171s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.049142s | Memorie:   781.27 KB
    Radix Sort      | Timp:   0.135133s | Memorie:   781.50 KB

  [CAS: Float Aleator | N: 100000 | TIP: float]
    Shell Sort      | Timp:   1.128697s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.668167s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   1.627672s | Memorie:     6.05 KB
    Heap Sort       | Timp:   0.753874s | Memorie:     0.00 KB

>>> FIȘIER: dim_mare.txt <<<

  [CAS: Aleator | N: 10000 | TIP: int]
    Bubble Sort     | Timp:  31.032302s | Memorie:     0.17 KB
    Selection Sort  | Timp:   4.559312s | Memorie:     0.00 KB
    Insertion Sort  | Timp:   4.724277s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.067043s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.085844s | Memorie:   156.41 KB
    Quick Sort      | Timp:   0.145530s | Memorie:     4.59 KB
    Heap Sort       | Timp:   0.053530s | Memorie:     0.00 KB
